date,action,ticker,price,note,analyst
2026-05-07,SELL,ARM,229.55,,Knox Ridley
2026-05-04,SELL,AEHR,94.25,,Knox Ridley
2026-05-04,SELL,NBIS,169.36,,Knox Ridley
2026-05-01,SELL,SNDK,1101.63,,Knox Ridley
2026-04-28,BUY,AEHR,76.83,,Knox Ridley
2026-04-28,BUY,NBIS,133.11,,Knox Ridley
2026-04-27,BUY,AMD,335.84,,Knox Ridley
2026-04-27,SELL,NVDA,209.67,,Knox Ridley
2026-04-24,BUY,ARM,230.56,,Knox Ridley
2026-04-21,BUY,NEE,91.68,,Knox Ridley
2026-04-21,SELL,RDDT,166.26,,Knox Ridley
2026-04-21,SELL,NET,206.0,,Knox Ridley
2026-04-21,SELL,CLS,405.75,,Knox Ridley
2026-04-14,SELL,BTCUSD,68080.0,,Knox Ridley
2026-04-06,BUY,AEHR,48.3,,Knox Ridley
2026-04-02,SELL,SNDK,695.07,,Knox Ridley
2026-04-02,SELL,LITE,802.91,,Knox Ridley
2026-04-01,SELL,LITE,779.0,,Knox Ridley
2026-03-31,SELL,AVGO,302.84,,Knox Ridley
2026-03-31,SELL,AMD,200.58,,Knox Ridley
2026-03-27,BUY,COHR,241.92,,Knox Ridley
2026-03-26,BUY,GOOGL,280.03,,Knox Ridley
2026-03-20,BUY,SNDK,518.6,,Knox Ridley
2026-03-09,BUY,MU,364.03,,Knox Ridley
2026-03-09,BUY,BE,135.0,,Knox Ridley
2026-03-06,BUY,AAOI,93.8,,Knox Ridley
2026-03-05,BUY,CLS,260.71,,Knox Ridley
2026-03-03,BUY,ALAB,118.52,,Knox Ridley
2026-02-27,BUY,SNDK,649.3,,Knox Ridley
2026-02-27,SELL,CRWV,78.77,,Knox Ridley
2026-02-25,SELL,LITE,754.8,,Knox Ridley
2026-02-25,SELL,APP,414.29,,Knox Ridley
2026-02-09,SELL,CRWV,95.71,,Knox Ridley
2026-02-06,SELL,BTCUSD,71003.0,,Knox Ridley
2026-02-06,SELL,APLD,34.91,,Knox Ridley
2026-02-06,SELL,AMD,209.02,,Knox Ridley
2026-02-05,BUY,META,658.51,,Knox Ridley
2026-02-04,BUY,BTCUSD,72333.0,,Knox Ridley
2026-02-04,BUY,PLTR,137.9,,Knox Ridley
2026-02-04,BUY,MU,377.91,,Knox Ridley
2026-02-04,SELL,GEV,733.67,,Knox Ridley
2026-02-04,SELL,INOD,49.82,,Knox Ridley
2026-02-03,BUY,BTCUSD,76301.0,,Knox Ridley
2026-02-03,BUY,SNDK,663.6,,Knox Ridley
2026-02-03,BUY,NET,166.55,,Knox Ridley
2026-02-03,BUY,RDDT,163.7,,Knox Ridley
2026-02-03,BUY,LITE,434.4,,Knox Ridley
2026-02-03,SELL,NVDA,179.61,,Knox Ridley
2026-02-03,BUY,MU,418.73,,Knox Ridley
2026-02-02,SELL,COHR,228.07,,Knox Ridley
2026-02-02,BUY,META,712.2,,Knox Ridley
2026-02-02,BUY,PLTR,148.62,,Knox Ridley
2026-02-02,BUY,RDDT,179.82,,Knox Ridley
2026-02-02,SELL,AAOI,49.02,,Knox Ridley
2026-01-30,BUY,SNDK,650.98,,Knox Ridley
2026-01-29,BUY,INOD,59.26,,Knox Ridley
2026-01-29,BUY,APLD,37.45,,Knox Ridley
2026-01-28,BUY,AMD,256.81,,Knox Ridley
2026-01-28,SELL,AVGO,333.17,,Knox Ridley
2026-01-28,BUY,LITE,387.25,,Knox Ridley
2026-01-28,SELL,ALAB,175.49,,Knox Ridley
2026-01-21,SELL,CRDO,139.03,,Knox Ridley
2026-01-14,BUY,BE,130.38,,Knox Ridley
2025-12-29,BUY,COHR,186.83,,Knox Ridley
